date,cash,market_value,equity,positions
2019-01-07,186866.70162580014,0.0,186866.70162580014,0
2019-01-08,186866.70162580014,0.0,186866.70162580014,0
2019-01-09,186866.70162580014,0.0,186866.70162580014,0
2019-01-10,186866.70162580014,0.0,186866.70162580014,0
2019-01-11,146220.20433370012,40634.307,186854.51133370012,1
2019-01-14,146220.20433370012,41076.0,187296.20433370012,1
2019-01-15,146220.20433370012,42945.0,189165.20433370012,1
2019-01-16,146220.20433370012,43575.0,189795.20433370012,1
2019-01-17,146220.20433370012,42420.0,188640.20433370012,1
2019-01-18,104787.07812370012,84428.70000000001,189215.77812370012,2
2019-01-21,104787.07812370012,89982.0,194769.0781237001,2
2019-01-22,104787.07812370012,87306.0,192093.0781237001,2
2019-01-23,104787.07812370012,87243.0,192030.0781237001,2
2019-01-24,104787.07812370012,85233.0,190020.0781237001,2
2019-01-25,191724.94664410016,0.0,191724.94664410016,0
2019-01-28,191724.94664410016,0.0,191724.94664410016,0
2019-01-29,191724.94664410016,0.0,191724.94664410016,0
2019-01-30,191724.94664410016,0.0,191724.94664410016,0
2019-01-31,191724.94664410016,0.0,191724.94664410016,0
2019-02-01,150526.00766920016,41186.583,191712.59066920017,1
2019-02-11,150526.00766920016,42678.0,193204.00766920016,1
2019-02-12,150526.00766920016,44118.0,194644.00766920016,1
2019-02-13,150526.00766920016,46566.0,197092.00766920016,1
2019-02-14,150526.00766920016,47304.0,197830.00766920016,1
2019-02-15,15063.273315800157,180208.728,195272.00131580015,5
2019-02-18,15063.273315800157,192433.0,207496.27331580015,5
2019-02-19,15063.273315800157,190534.0,205597.27331580015,5
2019-02-20,15063.273315800157,193796.0,208859.27331580015,5
2019-02-21,15063.273315800157,191356.0,206419.27331580015,5
2019-02-22,15173.450671200182,193803.42599999998,208976.87667120015,5
2019-02-25,15173.450671200182,212050.0,227223.45067120017,5
2019-02-26,15173.450671200182,206172.0,221345.45067120017,5
2019-02-27,15173.450671200182,207031.0,222204.45067120017,5
2019-02-28,15173.450671200182,209625.0,224798.45067120017,5
2019-03-01,17648.750554850194,216339.11549999999,233987.86605485016,5
2019-03-04,17648.750554850194,216140.0,233788.7505548502,5
2019-03-05,17648.750554850194,217685.0,235333.7505548502,5
2019-03-06,17648.750554850194,220196.0,237844.7505548502,5
2019-03-07,17648.750554850194,219054.0,236702.7505548502,5
2019-03-08,19255.11814005018,206215.49599999998,225470.61414005017,5
2019-03-11,19255.11814005018,213880.0,233135.11814005018,5
2019-03-12,19255.11814005018,212560.0,231815.11814005018,5
2019-03-13,19255.11814005018,212644.0,231899.11814005018,5
2019-03-14,19255.11814005018,212559.0,231814.11814005018,5
2019-03-15,15208.818096250201,223784.83649999998,238993.65459625018,5
2019-03-18,15208.818096250201,231604.0,246812.8180962502,5
2019-03-19,15208.818096250201,229753.0,244961.8180962502,5
2019-03-20,15208.818096250201,229658.0,244866.8180962502,5
2019-03-21,15208.818096250201,231890.0,247098.8180962502,5
2019-03-22,19453.226442050203,230911.45799999998,250364.68444205017,5
2019-03-25,19453.226442050203,226872.0,246325.2264420502,5
2019-03-26,19453.226442050203,223425.0,242878.2264420502,5
2019-03-27,19453.226442050203,226137.0,245590.2264420502,5
2019-03-28,19453.226442050203,225862.0,245315.2264420502,5
2019-03-29,31684.014168550224,222460.1745,254144.18866855022,4
2019-04-01,31684.014168550224,235080.0,266764.0141685502,4
2019-04-02,31684.014168550224,232088.0,263772.0141685502,4
2019-04-03,31684.014168550224,234372.0,266056.0141685502,4
2019-04-04,31684.014168550224,239398.0,271082.0141685502,4
2019-04-08,23070.49368640023,244453.0125,267523.50618640025,5
2019-04-09,23070.49368640023,245631.0,268701.49368640024,5
2019-04-10,23070.49368640023,245442.0,268512.49368640024,5
2019-04-11,23070.49368640023,239231.0,262301.49368640024,5
2019-04-12,23070.49368640023,242093.0,265163.49368640024,5
2019-04-15,23111.733065600245,239548.759,262660.49206560024,5
2019-04-16,23111.733065600245,250960.0,274071.7330656003,5
2019-04-17,23111.733065600245,249046.0,272157.7330656003,5
2019-04-18,23111.733065600245,247168.0,270279.7330656003,5
2019-04-19,23111.733065600245,253137.0,276248.7330656003,5
2019-04-22,71177.13195840028,196361.716,267538.84795840026,4
2019-04-23,71177.13195840028,197561.0,268738.13195840025,4
2019-04-24,71177.13195840028,198569.0,269746.13195840025,4
2019-04-25,71177.13195840028,196947.0,268124.13195840025,4
2019-04-26,71177.13195840028,192289.0,263466.13195840025,4
2019-04-29,70084.66718555032,201496.0735,271580.7406855503,4
2019-04-30,70084.66718555032,202724.0,272808.6671855503,4
