time,symbol,side,price,shares,amount,fee,tax,note
2026-05-02 01:54:29,600887,BUY,18.279135,2100,38386.1835,11.515855049999999,0.0,ml_rebalance
2026-05-02 01:54:30,600309,SELL,30.494745,1500,45742.1175,13.72263525,22.87105875,ml_rebalance
2026-05-02 01:54:30,000858,SELL,49.59519,900,44635.671,13.3907013,22.3178355,ml_rebalance
2026-05-02 01:54:30,000333,SELL,32.90354000000001,1300,42774.602000000006,12.8323806,21.387301000000004,ml_rebalance
2026-05-02 01:54:30,600887,SELL,20.56971,2100,43196.391,12.9589173,21.598195500000003,ml_rebalance
2026-05-02 01:54:30,002475,BUY,11.235615,3900,43818.898499999996,13.145669549999997,0.0,ml_rebalance
2026-05-02 01:54:30,600030,BUY,19.759874999999997,2200,43471.72499999999,13.041517499999996,0.0,ml_rebalance
2026-05-02 01:54:30,601012,BUY,10.285139999999998,4300,44226.10199999999,13.267830599999996,0.0,ml_rebalance
2026-05-02 01:54:30,601899,BUY,2.06103,800,1648.824,5.0,0.0,ml_rebalance
2026-05-02 01:54:30,600276,BUY,40.510245,1000,40510.244999999995,12.153073499999998,0.0,ml_rebalance
2026-05-02 01:54:30,002475,SELL,11.11444,3900,43346.316,13.003894799999998,21.673158,ml_rebalance
2026-05-02 01:54:30,600030,SELL,19.410290000000003,2200,42702.638000000006,12.810791400000001,21.351319000000004,ml_rebalance
2026-05-02 01:54:30,601012,SELL,9.345325,4300,40184.89750000001,12.055469250000002,20.092448750000003,ml_rebalance
2026-05-02 01:54:30,600309,BUY,25.93296,1600,41492.736000000004,12.4478208,0.0,ml_rebalance
2026-05-02 01:54:30,601899,BUY,1.9809899999999998,100,198.099,5.0,0.0,ml_rebalance
2026-05-02 01:54:30,000858,BUY,45.182579999999994,900,40664.32199999999,12.199296599999997,0.0,ml_rebalance
2026-05-02 01:54:30,600036,BUY,19.14957,2200,42129.054000000004,12.6387162,0.0,ml_rebalance
2026-05-02 01:54:30,600309,SELL,29.44527,1600,47112.432,14.133729599999999,23.556216,ml_rebalance
2026-05-02 01:54:30,000858,SELL,52.47375,900,47226.375,14.167912499999998,23.613187500000002,ml_rebalance
2026-05-02 01:54:30,600036,SELL,20.019985000000002,2200,44043.967000000004,13.2131901,22.0219835,ml_rebalance
2026-05-02 01:54:30,601899,BUY,1.9109549999999997,2100,4013.0054999999993,5.0,0.0,ml_rebalance
2026-05-02 01:54:30,600276,BUY,40.240109999999994,100,4024.0109999999995,5.0,0.0,ml_rebalance
2026-05-02 01:54:30,002475,BUY,12.156075,3700,44977.4775,13.493243249999999,0.0,ml_rebalance
2026-05-02 01:54:30,002594,BUY,15.557775,2900,45117.5475,13.535264249999999,0.0,ml_rebalance
2026-05-02 01:54:30,600030,BUY,19.18959,2300,44136.057,13.2408171,0.0,ml_rebalance
2026-05-02 01:54:30,601899,SELL,2.01899,23700,47850.063,14.3550189,23.925031500000003,ml_rebalance
2026-05-02 01:54:30,002475,SELL,13.363315,3700,49444.2655,14.83327965,24.72213275,ml_rebalance
2026-05-02 01:54:30,600030,SELL,20.039975000000002,2300,46091.942500000005,13.82758275,23.045971250000004,ml_rebalance
2026-05-02 01:54:30,601318,BUY,58.70934,800,46967.471999999994,14.090241599999997,0.0,ml_rebalance
2026-05-02 01:54:30,300750,BUY,27.31365,1700,46433.205,13.9299615,0.0,ml_rebalance
2026-05-02 01:54:30,600036,BUY,20.720355,2200,45584.781,13.6754343,0.0,ml_rebalance
2026-05-02 01:54:30,600276,SELL,44.35781000000001,1100,48793.59100000001,14.6380773,24.396795500000003,ml_rebalance
2026-05-02 01:54:30,601318,SELL,61.02947,800,48823.576,14.647072799999998,24.411788,ml_rebalance
2026-05-02 01:54:30,600036,SELL,22.268860000000004,2200,48991.492000000006,14.6974476,24.495746000000004,ml_rebalance
2026-05-02 01:54:30,601899,BUY,1.9409699999999999,28800,55899.935999999994,16.769980799999995,0.0,ml_rebalance
2026-05-02 01:54:30,002594,BUY,14.92746,800,11941.968,5.0,0.0,ml_rebalance
2026-05-02 01:54:30,601088,BUY,5.072535,11000,55797.885,16.739365499999998,0.0,ml_rebalance
2026-05-02 01:54:30,300750,BUY,26.443215,400,10577.286,5.0,0.0,ml_rebalance
2026-05-02 01:54:30,002594,SELL,14.892550000000002,3700,55102.435000000005,16.5307305,27.551217500000003,ml_rebalance
2026-05-02 01:54:30,601899,SELL,2.17891,28800,62752.608,18.825782399999998,31.376304,ml_rebalance
2026-05-02 01:54:30,601088,SELL,5.987005000000001,11000,65857.05500000001,19.757116500000002,32.9285275,ml_rebalance
2026-05-02 01:54:30,600276,BUY,43.40169,1100,47741.859000000004,14.3225577,0.0,ml_rebalance
2026-05-02 01:54:30,601318,BUY,64.582275,700,45207.5925,13.562277749999998,0.0,ml_rebalance
2026-05-02 01:54:30,600036,BUY,24.302145,2000,48604.29,14.581287,0.0,ml_rebalance
2026-05-02 01:54:30,002475,BUY,13.66683,3700,50567.27099999999,15.170181299999996,0.0,ml_rebalance
2026-05-02 01:54:30,300750,SELL,24.177905000000003,2100,50773.60050000001,15.232080150000002,25.386800250000004,ml_rebalance
2026-05-02 01:54:30,600276,SELL,42.92852500000001,1100,47221.37750000001,14.166413250000002,23.610688750000005,ml_rebalance
2026-05-02 01:54:30,002475,SELL,13.363315,3700,49444.2655,14.83327965,24.72213275,ml_rebalance
2026-05-02 01:54:30,601899,BUY,1.950975,25500,49749.862499999996,14.924958749999996,0.0,ml_rebalance
2026-05-02 01:54:30,600036,BUY,23.191589999999998,100,2319.1589999999997,5.0,0.0,ml_rebalance
2026-05-02 01:54:30,600309,BUY,34.667325,1400,48534.255,14.560276499999999,0.0,ml_rebalance
2026-05-02 01:54:30,000333,BUY,35.867925,1300,46628.3025,13.988490749999999,0.0,ml_rebalance
2026-05-02 01:54:30,601899,SELL,1.9690150000000002,25500,50209.88250000001,15.06296475,25.104941250000003,ml_rebalance
2026-05-02 01:54:30,600309,SELL,35.16241,1400,49227.374,14.768212199999999,24.613687000000002,ml_rebalance
2026-05-02 01:54:30,000333,SELL,37.121430000000004,1300,48257.859000000004,14.4773577,24.1289295,ml_rebalance
2026-05-02 01:54:30,600276,BUY,42.131054999999996,1200,50557.265999999996,15.167179799999998,0.0,ml_rebalance
2026-05-02 01:54:30,600887,BUY,24.462224999999997,2000,48924.44999999999,14.677334999999996,0.0,ml_rebalance
2026-05-02 01:54:30,600036,SELL,23.678155000000004,2100,49724.12550000001,14.91723765,24.862062750000007,ml_rebalance
2026-05-02 01:54:30,600276,SELL,44.29784,1200,53157.408,15.9472224,26.578704000000002,ml_rebalance
2026-05-02 01:54:30,600887,SELL,24.20789,2000,48415.78,14.524733999999999,24.20789,ml_rebalance
2026-05-02 01:54:30,601899,BUY,1.74087,29600,51529.752,15.458925599999999,0.0,ml_rebalance
2026-05-02 01:54:30,600309,BUY,33.74686499999999,1500,50620.297499999986,15.186089249999995,0.0,ml_rebalance
2026-05-02 01:54:30,002594,BUY,15.64782,3200,50073.024,15.021907199999998,0.0,ml_rebalance
